what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299015554032
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299015561970
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1299015582696
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015690747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015814951
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299015818563
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1299015820011
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299015830530
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299015830576
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299015830600
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299015832574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015844029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015844321
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1299015844523
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015844785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015847333
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299015851534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015882888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015902382
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299015909812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015937858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299016018558
