what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939234349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939248387
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1298939256382
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1298939256384
started,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1298939265267
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1298939273557
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1298939273608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939282455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939282910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939282917
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939288837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939308341
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1298939315380
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1298939315384
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939319716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939339336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939339725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939340452
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1298939446986
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1298939465926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939468760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939471110
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298939492211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298939494299
